Link Name,Line Number,Id,On,Off,Duration,Day,All,Working Turn,Live Turn,Rest Day,Spare Turn,Early,Late,Overlength Night Turn (00:00-04:59),Overlength Night Turn (21:00-23:59),Pre-9Am Spare,Post-Midnight Spare
Link 1,1,RD,,,,Sunday,1,0,0,1,0,0,0,0,0,0,0
Link 1,1,SP,21:00,29:00,08:00,Monday,1,1,0,0,1,0,1,0,0,0,1
Link 1,1,SP,21:00,29:00,08:00,Tuesday,1,1,0,0,1,0,1,0,0,0,1
Link 1,1,SP,21:00,29:00,08:00,Wednesday,1,1,0,0,1,0,1,0,0,0,1
Link 1,1,MP  405,21:58,28:56,06:58,Thursday,1,1,1,0,0,0,1,0,0,0,0
Link 1,1,MP  405,21:58,28:56,06:58,Friday,1,1,1,0,0,0,1,0,0,0,0
Link 1,1,RD,,,,Saturday,1,0,0,1,0,0,0,0,0,0,0
Link 1,2,RD,,,,Sunday,1,0,0,1,0,0,0,0,0,0,0
Link 1,2,RD,,,,Monday,1,0,0,1,0,0,0,0,0,0,0
Link 1,2,RD,,,,Tuesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,2,MP  401,04:25,11:53,07:28,Wednesday,1,1,1,0,0,1,0,0,0,0,0
Link 1,2,SP,04:25,13:25,09:00,Thursday,1,1,0,0,1,1,0,0,0,1,0
Link 1,2,SP,04:25,13:25,09:00,Friday,1,1,0,0,1,1,0,0,0,1,0
Link 1,2,SP,06:00,15:27,09:27,Saturday,1,1,0,0,1,1,0,0,0,1,0
Link 1,3,MP  2403,09:05,17:23,08:18,Sunday,1,1,1,0,0,1,0,0,0,0,0
Link 1,3,RD,,,,Monday,1,0,0,1,0,0,0,0,0,0,0
Link 1,3,RD,,,,Tuesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,3,RD,,,,Wednesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,3,MP  403,13:30,23:28,09:58,Thursday,1,1,1,0,0,0,1,0,0,0,0
Link 1,3,SP,13:00,22:27,09:27,Friday,1,1,0,0,1,0,1,0,0,0,0
Link 1,3,MP  1403,13:08,22:50,09:42,Saturday,1,1,1,0,0,0,1,0,0,0,0
Link 1,4,MP  2404,15:09,23:25,08:16,Sunday,1,1,1,0,0,0,1,0,0,0,0
Link 1,4,MP  404,15:08,25:05,09:57,Monday,1,1,1,0,0,0,1,0,0,0,0
Link 1,4,RD,,,,Tuesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,4,RD,,,,Wednesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,4,RD,,,,Thursday,1,0,0,1,0,0,0,0,0,0,0
Link 1,4,RD,,,,Friday,1,0,0,1,0,0,0,0,0,0,0
Link 1,4,MP  1402,05:00,12:32,07:32,Saturday,1,1,1,0,0,1,0,0,0,0,0
Link 1,5,MP  2401,06:25,14:34,08:09,Sunday,1,1,1,0,0,1,0,0,0,0,0
Link 1,5,MP  401,04:25,11:53,07:28,Monday,1,1,1,0,0,1,0,0,0,0,0
Link 1,5,SP,04:25,13:25,09:00,Tuesday,1,1,0,0,1,1,0,0,0,1,0
Link 1,5,RR,06:00,14:50,08:50,Wednesday,1,1,0,0,0,1,0,0,0,0,0
Link 1,5,RD,,,,Thursday,1,0,0,1,0,0,0,0,0,0,0
Link 1,5,RD,,,,Friday,1,0,0,1,0,0,0,0,0,0,0
Link 1,5,RD,,,,Saturday,1,0,0,1,0,0,0,0,0,0,0
Link 1,6,RD,,,,Sunday,1,0,0,1,0,0,0,0,0,0,0
Link 1,6,RD,,,,Monday,1,0,0,1,0,0,0,0,0,0,0
Link 1,6,MP  403,13:30,23:28,09:58,Tuesday,1,1,1,0,0,0,1,0,0,0,0
Link 1,6,SP,16:06,25:33,09:27,Wednesday,1,1,0,0,1,0,1,0,0,0,1
Link 1,6,SP,16:06,25:33,09:27,Thursday,1,1,0,0,1,0,1,0,0,0,1
Link 1,6,SP,16:06,25:33,09:27,Friday,1,1,0,0,1,0,1,0,0,0,1
Link 1,6,MP  1405,14:29,24:12,09:43,Saturday,1,1,1,0,0,0,1,0,0,0,0
Link 1,7,RD,,,,Sunday,1,0,0,1,0,0,0,0,0,0,0
Link 1,7,RD,,,,Monday,1,0,0,1,0,0,0,0,0,0,0
Link 1,7,RD,,,,Tuesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,7,SP,20:55,28:55,08:00,Wednesday,1,1,0,0,1,0,1,0,0,0,1
Link 1,7,SP,21:00,29:00,08:00,Thursday,1,1,0,0,1,0,1,0,0,0,1
Link 1,7,SP,21:00,29:00,08:00,Friday,1,1,0,0,1,0,1,0,0,0,1
Link 1,7,SP,18:30,27:57,09:27,Saturday,1,1,0,0,1,0,1,0,0,0,1
Link 1,8,MP  2406,21:06,28:56,07:50,Sunday,1,1,1,0,0,0,1,0,0,0,0
Link 1,8,RD,,,,Monday,1,0,0,1,0,0,0,0,0,0,0
Link 1,8,RD,,,,Tuesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,8,RD,,,,Wednesday,1,0,0,1,0,0,0,0,0,0,0
Link 1,8,RD,,,,Thursday,1,0,0,1,0,0,0,0,0,0,0
Link 1,8,MP  401,04:25,11:53,07:28,Friday,1,1,1,0,0,1,0,0,0,0,0
